Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Garlic,162,416,Vegetarian,Dairy,88,6.23,32.79,0.89,Lunch
Oranges,229,168,Vegetarian,None,49,22.55,69.92,12.48,Lunch
Rice,183,670,Vegetarian,None,82,41.64,34.29,42.88,Dinner
Pistachios,160,346,Vegetarian,Shellfish,54,5.23,0.56,17.93,Breakfast
Peas,138,677,Vegetarian,Dairy,27,12.51,90.92,27.13,Snack
Cheese,162,416,Vegetarian,Nuts,90,2.68,73.3,40.94,Lunch
Wheat,298,239,Vegetarian,Shellfish,15,46.67,8.77,16.02,Lunch
Watermelon,462,384,Vegetarian,None,44,16.94,37.96,13.39,Breakfast
Pistachios,68,516,Vegetarian,None,21,21.52,87.68,20.59,Dinner
Honeydew,372,117,Vegetarian,None,21,42.95,26.59,10.61,Dinner
Wheat,66,662,Vegetarian,Nuts,21,5.73,33.94,12.84,Breakfast
Onions,385,284,Vegetarian,None,59,19.76,61.17,15.85,Snack
Walnuts,372,617,Vegetarian,None,55,30.55,42.27,28.42,Breakfast
Cheese,385,168,Vegetarian,Shellfish,87,10.84,35.38,33.82,Snack
Papaya,372,533,Vegetarian,Shellfish,11,16.23,65.18,11.66,Snack
Beef,192,288,Non-Vegetarian,None,27,33.96,47.67,14.71,Lunch
Duck,174,396,Non-Vegetarian,Shellfish,18,21.08,74.31,49.9,Dinner
Pecans,403,445,Vegetarian,Gluten,94,2.1,2.07,16.11,Dinner
Strawberries,183,288,Vegetarian,Dairy,67,7.86,20.3,13.39,Snack
Pistachios,318,530,Vegetarian,None,98,25.33,94.85,25.63,Lunch
Turkey,380,318,Non-Vegetarian,Nuts,12,27.65,43.46,1.18,Snack
Seitan,183,564,Vegetarian,None,58,31.73,61.17,46.9,Lunch
Onions,193,238,Vegetarian,Gluten,55,3.45,93.7,27.13,Breakfast
Sweet Potatoes,372,230,Vegetarian,Dairy,64,46.53,73.3,6.62,Breakfast
Barley,68,536,Vegetarian,None,79,46.67,90.1,42.88,Breakfast
Tomatoes,461,384,Vegetarian,Shellfish,95,11.89,73.93,0.6,Dinner
Kale,162,520,Vegetarian,Shellfish,29,46.26,22.12,11.66,Breakfast
Peaches,312,664,Vegetarian,Dairy,15,46.26,22.12,17.93,Breakfast
Pumpkin,174,133,Vegetarian,Dairy,95,2.1,65.18,19.06,Lunch
Milk,67,86,Vegetarian,Shellfish,63,32.06,55.33,12.26,Dinner
Sweet Potatoes,253,469,Vegetarian,Gluten,38,30.55,61.67,38.86,Lunch
Lamb,372,288,Non-Vegetarian,Shellfish,29,32.61,74.31,47.05,Snack
Walnuts,380,612,Vegetarian,Gluten,87,3.51,15.2,38.38,Breakfast
Peanuts,192,612,Vegetarian,Dairy,21,9.36,78.53,23.31,Lunch
Bananas,389,438,Vegetarian,Dairy,38,46.53,92.11,38.86,Lunch
Cashews,160,133,Vegetarian,Shellfish,79,10.26,97.12,1.18,Breakfast
Lentils,403,575,Vegetarian,Shellfish,21,10.26,65.18,32.24,Lunch
Lentils,193,584,Vegetarian,Shellfish,11,47.53,8.77,1.4,Lunch
Grapes,327,375,Vegetarian,Shellfish,67,35.3,2.07,7.29,Dinner
Radishes,269,435,Vegetarian,Shellfish,59,16.23,44.23,35.88,Lunch
Peas,334,179,Vegetarian,Nuts,92,37.93,92.79,1.4,Lunch
Bell Peppers,198,399,Vegetarian,Dairy,59,45.04,94.85,30.15,Breakfast
Shrimp,427,556,Non-Vegetarian,Gluten,15,28.89,48.29,15.34,Lunch
Shallots,389,414,Vegetarian,Dairy,21,33.96,87.67,28.0,Breakfast
Sweet Potatoes,154,430,Vegetarian,Dairy,48,30.68,37.96,15.85,Dinner
Tomatoes,294,230,Vegetarian,Gluten,55,32.61,25.38,12.48,Lunch
Grapes,174,361,Vegetarian,Shellfish,95,12.51,45.71,28.6,Snack
Chickpeas,67,179,Vegetarian,Dairy,97,35.3,37.96,19.06,Breakfast
Nectarines,174,430,Vegetarian,None,12,32.89,64.62,47.79,Breakfast
Macadamia,380,346,Vegetarian,Shellfish,94,9.36,21.8,23.91,Snack
Cherries,168,582,Vegetarian,Gluten,79,35.95,15.2,10.61,Lunch
Beans,297,650,Vegetarian,Shellfish,44,2.68,87.26,20.19,Snack
Yams,318,306,Vegetarian,Dairy,21,19.64,99.26,38.38,Lunch
Kale,133,440,Vegetarian,Gluten,64,30.55,76.46,11.66,Lunch
Coconut Milk,298,416,Vegetarian,Nuts,98,28.47,45.79,37.31,Dinner
Yams,206,238,Vegetarian,Gluten,64,35.65,92.79,37.72,Snack
Broccoli,462,288,Vegetarian,None,52,29.46,15.47,38.81,Lunch
Sweet Potatoes,342,287,Vegetarian,Gluten,88,19.64,73.3,12.84,Lunch
Jalapenos,403,318,Vegetarian,Shellfish,78,15.96,79.59,24.78,Lunch
Leeks,202,179,Vegetarian,Nuts,15,19.11,80.47,35.73,Snack
Peaches,207,564,Vegetarian,None,54,10.84,76.46,37.72,Lunch
Mushrooms,283,234,Vegetarian,Gluten,58,46.53,8.77,28.8,Dinner
Strawberries,253,677,Vegetarian,Gluten,77,45.45,90.1,40.94,Dinner
Oat,447,76,Vegetarian,Dairy,52,11.89,41.39,12.26,Snack
Egg,397,532,Non-Vegetarian,Gluten,66,2.1,22.28,26.44,Breakfast
Sweet Potatoes,275,470,Vegetarian,Shellfish,87,26.74,39.41,32.24,Lunch
Scallions,174,234,Vegetarian,Gluten,59,15.87,47.33,27.36,Snack
Plums,380,474,Vegetarian,Dairy,22,34.25,37.5,3.1,Breakfast
Oat Milk,162,650,Vegetarian,None,82,3.45,79.59,35.86,Snack
Oat Milk,66,144,Vegetarian,Gluten,15,35.08,78.02,45.92,Breakfast
Zucchini,216,396,Vegetarian,Nuts,19,30.68,90.1,16.02,Dinner
Butter,428,288,Vegetarian,Dairy,78,34.87,18.2,12.48,Dinner
Parsnips,133,670,Vegetarian,Gluten,15,32.79,41.39,40.03,Snack
Cream,318,582,Vegetarian,Shellfish,29,19.83,94.85,28.42,Dinner
Onions,200,92,Vegetarian,Nuts,82,35.08,99.26,40.94,Breakfast
Beef,428,375,Non-Vegetarian,Shellfish,12,15.96,56.73,7.29,Breakfast
Apples,253,469,Vegetarian,None,90,22.58,56.39,19.8,Dinner
Egg,461,612,Non-Vegetarian,Gluten,59,44.65,34.29,11.66,Breakfast
Beef,499,575,Non-Vegetarian,Dairy,77,33.96,73.18,20.59,Snack
Blackberries,372,469,Vegetarian,Gluten,59,24.11,45.71,33.82,Snack
Duck,463,671,Non-Vegetarian,Nuts,27,46.26,15.2,49.9,Snack
Peaches,263,440,Vegetarian,Shellfish,10,31.73,33.94,44.12,Lunch
Tofu,162,369,Vegetarian,Gluten,96,10.84,37.89,46.22,Breakfast
Oat Milk,236,371,Vegetarian,Nuts,29,15.96,21.8,12.36,Lunch
Plums,419,459,Vegetarian,Nuts,97,10.84,79.59,1.76,Lunch
Cream,342,670,Vegetarian,Dairy,23,10.26,35.73,23.12,Breakfast
Wheat,174,369,Vegetarian,Dairy,37,27.65,94.85,14.17,Dinner
Cantaloupe,142,564,Vegetarian,Nuts,64,45.04,43.46,14.17,Breakfast
Kiwi,207,369,Vegetarian,Gluten,59,34.87,32.79,31.39,Breakfast
Coconut Milk,264,556,Vegetarian,Gluten,75,39.18,61.67,47.05,Breakfast
Blackberries,263,158,Vegetarian,Shellfish,55,32.06,35.38,46.9,Snack
Scallions,138,117,Vegetarian,Dairy,47,31.73,97.12,20.19,Snack
Yogurt,239,617,Vegetarian,Gluten,88,44.65,45.53,1.84,Lunch
Coconut Milk,198,384,Vegetarian,Dairy,77,19.19,80.47,1.84,Breakfast
Cantaloupe,92,692,Vegetarian,Dairy,66,19.11,97.12,33.82,Dinner
Butter,442,259,Vegetarian,None,11,41.67,64.65,35.73,Breakfast
Parsnips,132,175,Vegetarian,Dairy,71,33.13,70.21,18.81,Lunch
Kale,430,533,Vegetarian,None,41,11.2,87.68,25.01,Lunch
Salmon,318,168,Non-Vegetarian,Shellfish,98,14.59,45.45,38.81,Dinner
Hazelnuts,174,472,Vegetarian,Nuts,20,33.96,37.02,15.85,Lunch
Oat,327,169,Vegetarian,Nuts,87,25.33,97.12,23.98,Dinner
Kale,87,440,Vegetarian,None,59,35.61,20.3,16.11,Dinner
Pineapple,192,284,Vegetarian,Dairy,50,46.67,73.18,30.15,Snack
Watermelon,327,616,Vegetarian,Dairy,96,3.99,55.33,27.13,Snack
Egg,183,175,Non-Vegetarian,Dairy,30,44.63,24.51,32.24,Lunch
Strawberries,264,622,Vegetarian,Dairy,66,16.71,96.73,16.02,Lunch
Jalapenos,142,664,Vegetarian,Nuts,18,41.24,80.47,47.05,Dinner
Soy Milk,297,384,Vegetarian,None,29,24.11,20.3,28.42,Dinner
Barley,200,234,Vegetarian,Dairy,59,3.45,93.48,35.86,Dinner
Yams,168,472,Vegetarian,Gluten,59,19.11,15.47,7.68,Snack
Walnuts,311,234,Vegetarian,Gluten,21,3.56,46.24,47.47,Lunch
Quinoa,217,469,Vegetarian,None,11,10.84,61.67,28.0,Lunch
Cantaloupe,94,360,Vegetarian,Gluten,99,43.4,47.67,12.56,Lunch
Kiwi,430,175,Vegetarian,Gluten,55,19.76,73.12,25.63,Snack
Grapes,253,213,Vegetarian,None,61,26.11,2.07,45.92,Snack
Beetroot,174,217,Vegetarian,None,12,41.54,97.12,10.15,Lunch
Apples,451,238,Vegetarian,None,43,15.22,37.89,23.98,Snack
Chili Peppers,198,570,Vegetarian,Nuts,11,46.53,10.73,38.21,Lunch
Broccoli,183,168,Vegetarian,Nuts,29,5.23,10.73,15.85,Lunch
Macadamia,342,301,Vegetarian,Shellfish,29,46.67,73.93,12.36,Breakfast
Wheat,372,234,Vegetarian,Dairy,82,18.93,22.28,38.81,Breakfast
Nuts,428,532,Vegetarian,None,53,46.53,77.52,16.11,Dinner
Cream,154,306,Vegetarian,Nuts,29,32.61,87.67,23.31,Snack
Brazil Nuts,207,306,Vegetarian,Nuts,59,43.4,61.22,10.15,Lunch
Tomatoes,68,536,Vegetarian,None,59,12.89,79.59,25.63,Lunch
Grapes,430,512,Vegetarian,Gluten,67,46.26,45.71,12.84,Breakfast
Pork,264,536,Non-Vegetarian,Gluten,18,35.61,56.39,14.71,Snack
Blueberries,405,396,Vegetarian,Nuts,29,19.19,56.73,14.17,Dinner
Zucchini,71,230,Vegetarian,Dairy,63,1.6,70.43,25.01,Dinner
Lentils,327,230,Vegetarian,Nuts,59,2.68,15.2,1.4,Breakfast
Oat,124,670,Vegetarian,Nuts,98,12.89,85.88,10.93,Snack
Cantaloupe,70,692,Vegetarian,Dairy,58,26.11,28.17,29.08,Lunch
Oat Milk,229,96,Vegetarian,Dairy,92,15.22,89.42,38.38,Dinner
Turnips,192,650,Vegetarian,None,58,14.59,80.47,28.0,Snack
Zucchini,263,144,Vegetarian,None,57,25.15,73.18,17.93,Breakfast
Peas,138,575,Vegetarian,Shellfish,88,15.91,79.59,35.86,Lunch
Shallots,206,414,Vegetarian,Nuts,71,24.11,26.59,38.93,Dinner
Blackberries,230,175,Vegetarian,Nuts,95,21.08,87.68,6.44,Breakfast
Oat,132,536,Vegetarian,Dairy,15,34.58,18.2,20.19,Lunch
Chickpeas,183,414,Vegetarian,Shellfish,88,10.26,61.15,29.08,Snack
Soy Milk,403,284,Vegetarian,Shellfish,59,10.84,30.76,6.62,Breakfast
Shallots,68,626,Vegetarian,Gluten,43,11.2,48.29,46.9,Lunch
Zucchini,385,156,Vegetarian,Gluten,38,21.08,78.04,16.02,Dinner
Chicken,269,384,Non-Vegetarian,Dairy,77,34.7,78.02,12.56,Snack
Beans,463,375,Vegetarian,Dairy,11,22.55,87.67,13.39,Breakfast
Quinoa,174,438,Vegetarian,Nuts,10,2.1,99.09,44.12,Breakfast
Cantaloupe,160,562,Vegetarian,Shellfish,59,16.23,87.67,0.42,Snack
Jalapenos,124,396,Vegetarian,Dairy,59,15.87,20.3,0.89,Dinner
Blueberries,236,612,Vegetarian,Dairy,59,34.7,31.14,48.05,Dinner
Beans,394,133,Vegetarian,None,90,29.46,70.43,12.48,Dinner
Hazelnuts,174,369,Vegetarian,Gluten,29,27.45,74.18,32.24,Breakfast
Nuts,263,287,Vegetarian,Dairy,10,19.76,67.69,47.79,Breakfast
Cashews,364,612,Vegetarian,Nuts,23,15.87,8.9,38.21,Snack
Cream,133,414,Vegetarian,Nuts,12,5.23,55.32,19.42,Dinner
Chicken,447,371,Non-Vegetarian,Nuts,29,44.65,76.48,12.26,Snack
Bananas,453,239,Vegetarian,Shellfish,59,18.93,20.3,15.85,Dinner
Milk,403,512,Vegetarian,Nuts,23,32.79,43.46,38.81,Breakfast
Turnips,263,179,Vegetarian,Shellfish,15,6.23,74.18,32.24,Breakfast
Chili Peppers,430,440,Vegetarian,Shellfish,82,43.4,78.02,1.18,Snack
Kale,162,156,Vegetarian,Nuts,97,3.51,26.59,37.72,Lunch
Cream,202,414,Vegetarian,Nuts,64,32.89,50.43,37.72,Lunch
Apples,202,158,Vegetarian,Dairy,44,11.94,87.68,35.86,Dinner
Scallions,281,414,Vegetarian,None,24,32.79,78.88,0.6,Snack
Macadamia,192,361,Vegetarian,Gluten,77,41.16,54.96,38.21,Dinner
Chili Peppers,263,384,Vegetarian,Gluten,44,8.48,44.23,32.24,Breakfast
Oat,92,239,Vegetarian,None,32,3.56,28.35,1.4,Snack
Nectarines,231,217,Vegetarian,Shellfish,78,22.55,46.24,35.88,Dinner
Egg,285,375,Non-Vegetarian,Dairy,69,34.58,69.92,47.47,Dinner
Bell Peppers,263,144,Vegetarian,Shellfish,72,32.61,77.52,49.9,Dinner
Corn,162,284,Vegetarian,None,78,5.23,93.48,40.94,Lunch
Soy Milk,70,288,Vegetarian,Gluten,27,11.62,28.35,47.05,Snack
Pistachios,406,619,Vegetarian,Gluten,52,19.83,32.79,29.3,Dinner
Broccoli,245,626,Vegetarian,Nuts,57,27.65,15.47,16.02,Breakfast
Nectarines,178,346,Vegetarian,Dairy,82,10.84,8.77,15.85,Breakfast
Peaches,403,474,Vegetarian,Nuts,92,12.89,77.52,47.47,Breakfast
Scallions,499,626,Vegetarian,Dairy,88,38.21,79.59,12.84,Breakfast
Soy Milk,68,234,Vegetarian,Dairy,24,44.65,42.27,38.21,Lunch
Quinoa,318,533,Vegetarian,None,87,11.2,69.92,20.59,Lunch
Oranges,405,584,Vegetarian,Nuts,95,10.26,53.8,7.29,Lunch
Kale,181,617,Vegetarian,Shellfish,21,3.51,54.96,14.17,Dinner
Quinoa,174,662,Vegetarian,Nuts,24,20.98,0.56,16.11,Dinner
Coconut Milk,174,224,Vegetarian,Dairy,82,11.94,76.46,30.15,Lunch
Macadamia,442,470,Vegetarian,Nuts,58,19.76,8.9,33.82,Dinner
Bell Peppers,207,516,Vegetarian,Nuts,29,11.2,74.18,28.42,Snack
Parsnips,403,692,Vegetarian,Dairy,59,41.24,80.47,14.71,Breakfast
Spinach,405,301,Vegetarian,Gluten,69,41.16,37.89,35.73,Breakfast
Shrimp,312,575,Non-Vegetarian,Nuts,38,9.36,76.46,40.94,Dinner
Lentils,342,315,Vegetarian,None,24,25.05,31.14,7.68,Lunch
Cheese,162,575,Vegetarian,Gluten,63,8.68,50.43,11.36,Breakfast
Egg,181,662,Non-Vegetarian,None,63,15.22,61.17,37.72,Snack
Onions,162,570,Vegetarian,Gluten,21,24.52,76.48,45.92,Breakfast
Papaya,449,520,Vegetarian,Shellfish,82,45.45,28.31,23.51,Lunch
Grapes,449,650,Vegetarian,Shellfish,59,5.23,28.17,35.73,Lunch
Onions,385,158,Vegetarian,None,36,18.93,94.85,30.15,Lunch
Broccoli,442,692,Vegetarian,Nuts,75,11.62,77.52,38.21,Lunch
Nuts,449,318,Vegetarian,Shellfish,96,27.65,87.67,23.51,Snack
Mutton,68,399,Non-Vegetarian,None,87,12.89,56.39,15.85,Breakfast
Pecans,174,615,Vegetarian,None,20,32.79,50.43,23.98,Dinner
Lentils,207,86,Vegetarian,Gluten,63,45.45,26.0,42.88,Dinner
Peaches,71,469,Vegetarian,Nuts,19,33.13,8.77,30.15,Breakfast
Macadamia,372,536,Vegetarian,Shellfish,92,8.68,39.41,6.44,Dinner
Peas,385,284,Vegetarian,Gluten,57,12.51,87.68,1.84,Snack
Zucchini,419,156,Vegetarian,None,24,42.95,55.32,37.31,Breakfast
Pumpkin,168,243,Vegetarian,Shellfish,24,19.11,47.67,15.52,Lunch
Carrot,449,557,Vegetarian,Dairy,59,41.16,34.29,1.84,Breakfast
Leeks,428,637,Vegetarian,Shellfish,86,6.23,28.17,38.93,Dinner
Cheese,447,512,Vegetarian,Shellfish,29,25.05,61.67,31.39,Snack
Leeks,462,217,Vegetarian,Gluten,61,41.16,61.17,19.42,Breakfast
Butter,449,234,Vegetarian,Shellfish,97,48.14,94.85,38.38,Dinner
Tomatoes,419,168,Vegetarian,Dairy,59,41.54,61.67,42.88,Snack
Mango,397,133,Vegetarian,Shellfish,93,8.68,46.24,10.49,Snack
Lamb,229,662,Non-Vegetarian,Dairy,59,28.47,92.11,7.29,Breakfast
Pistachios,217,239,Vegetarian,Dairy,55,22.55,89.42,17.93,Lunch
Mushrooms,311,575,Vegetarian,Shellfish,26,33.96,64.62,33.06,Lunch
Radishes,236,217,Vegetarian,Shellfish,66,19.64,41.39,17.93,Snack
Peaches,87,175,Vegetarian,Shellfish,63,32.89,87.68,16.11,Lunch
Nectarines,421,224,Vegetarian,Gluten,82,47.53,74.31,0.42,Snack
Apricots,442,562,Vegetarian,Gluten,23,46.26,28.35,35.73,Dinner
Pistachios,59,440,Vegetarian,Gluten,94,25.15,90.92,3.1,Breakfast
Peanuts,340,361,Vegetarian,Dairy,32,32.79,35.38,15.52,Lunch
Strawberries,236,612,Vegetarian,Dairy,97,32.89,46.24,37.72,Breakfast
Seitan,154,361,Vegetarian,None,38,44.47,78.04,47.47,Dinner
Zucchini,294,158,Vegetarian,Shellfish,21,6.23,70.21,17.93,Snack
Watermelon,183,301,Vegetarian,Dairy,58,30.68,65.18,47.79,Snack
Squash,70,416,Vegetarian,Nuts,69,41.54,78.53,46.9,Dinner
Mutton,342,133,Non-Vegetarian,None,87,11.94,85.88,32.97,Breakfast
Quinoa,372,606,Vegetarian,Dairy,93,5.23,37.5,46.9,Breakfast
Pistachios,174,384,Vegetarian,Shellfish,37,20.98,67.69,1.4,Snack
Pistachios,245,384,Vegetarian,Gluten,98,3.56,37.02,35.86,Snack
Butter,467,92,Vegetarian,None,57,42.95,54.96,28.0,Lunch
Hazelnuts,174,557,Vegetarian,None,21,1.06,93.48,14.17,Snack
Zucchini,174,445,Vegetarian,None,38,28.89,28.31,46.9,Snack
Duck,499,616,Non-Vegetarian,Nuts,22,41.16,48.29,0.42,Dinner
Brazil Nuts,467,430,Vegetarian,Shellfish,59,28.47,77.52,35.86,Snack
Seitan,70,54,Vegetarian,Nuts,57,19.76,64.62,46.9,Breakfast
Garlic,92,396,Vegetarian,Dairy,29,45.45,22.12,19.06,Dinner
Cashews,174,619,Vegetarian,Gluten,67,6.23,37.96,12.84,Breakfast
Almonds,364,284,Vegetarian,Dairy,98,35.65,74.18,28.8,Breakfast
Shrimp,98,440,Non-Vegetarian,Nuts,55,34.7,85.88,11.66,Lunch
Coconut Milk,327,144,Vegetarian,Shellfish,58,41.64,78.88,15.85,Breakfast
Radishes,467,361,Vegetarian,Shellfish,59,21.08,47.67,38.21,Snack
Bananas,183,516,Vegetarian,Gluten,41,32.89,78.88,27.13,Snack
Lamb,380,346,Non-Vegetarian,None,10,45.04,24.51,37.31,Lunch
Soy Milk,202,662,Vegetarian,Dairy,66,9.38,61.67,29.08,Lunch
Bell Peppers,406,361,Vegetarian,Dairy,20,30.68,55.33,38.9,Dinner
Peas,154,158,Vegetarian,Gluten,64,37.8,77.52,40.03,Dinner
Blackberries,263,422,Vegetarian,Nuts,80,39.18,37.5,7.29,Snack
Garlic,269,612,Vegetarian,Nuts,82,21.08,64.62,12.56,Snack
Sweet Potatoes,207,564,Vegetarian,None,30,10.26,42.27,40.94,Lunch
Parsnips,183,96,Vegetarian,Dairy,59,34.7,43.46,38.93,Lunch
Shrimp,427,612,Non-Vegetarian,Shellfish,88,19.83,73.18,38.81,Lunch
Oat,403,529,Vegetarian,Nuts,63,11.62,47.33,26.44,Snack
Broccoli,198,230,Vegetarian,None,82,12.51,73.3,15.52,Lunch
Quinoa,397,440,Vegetarian,Shellfish,15,10.26,61.15,33.06,Dinner
Apricots,217,416,Vegetarian,Nuts,50,7.86,47.67,33.47,Snack
Pistachios,342,564,Vegetarian,None,87,46.67,45.79,30.15,Lunch
Egg,207,671,Non-Vegetarian,Gluten,21,41.16,61.15,25.01,Lunch
Pineapple,297,619,Vegetarian,Dairy,63,12.89,39.41,25.01,Lunch
Carrot,98,96,Vegetarian,None,98,7.86,64.62,35.73,Breakfast
Oat,297,224,Vegetarian,None,15,35.61,50.43,17.93,Breakfast
Watermelon,266,238,Vegetarian,Nuts,55,5.73,73.18,40.94,Lunch
Cashews,239,384,Vegetarian,None,87,19.64,5.68,48.78,Snack
Walnuts,461,147,Vegetarian,Dairy,22,8.48,56.73,29.3,Breakfast
Kale,467,318,Vegetarian,Gluten,69,46.53,67.69,32.33,Dinner
Hazelnuts,403,86,Vegetarian,None,61,5.23,76.46,23.31,Snack
Leeks,327,622,Vegetarian,Nuts,93,11.94,30.76,48.78,Dinner
Almonds,447,512,Vegetarian,Gluten,55,21.08,88.15,47.79,Snack
Egg,174,416,Non-Vegetarian,None,82,41.54,43.46,16.68,Snack
Potatoes,183,169,Vegetarian,Dairy,52,10.84,85.88,15.34,Lunch
Brazil Nuts,428,474,Vegetarian,Gluten,88,35.95,24.51,0.42,Breakfast
Brazil Nuts,87,133,Vegetarian,None,38,22.58,90.92,23.51,Snack
Nectarines,298,147,Vegetarian,Gluten,26,15.96,70.43,15.85,Breakfast
Butter,147,416,Vegetarian,Nuts,22,5.73,22.12,1.4,Lunch
Jalapenos,76,677,Vegetarian,Nuts,15,35.61,78.04,28.0,Snack
Cherries,269,617,Vegetarian,Nuts,61,35.3,42.27,12.84,Snack
Tempeh,245,516,Vegetarian,None,80,41.67,15.2,16.33,Lunch
Quinoa,266,570,Vegetarian,Gluten,59,32.79,35.38,17.28,Dinner
Pork,263,234,Non-Vegetarian,Shellfish,19,47.53,35.38,17.28,Dinner
Mango,311,86,Vegetarian,Gluten,10,46.53,37.02,45.32,Snack
Sweet Potatoes,447,224,Vegetarian,None,64,27.65,37.96,32.33,Lunch
Jalapenos,372,230,Vegetarian,Dairy,30,5.73,75.85,37.31,Breakfast
Oranges,334,375,Vegetarian,Dairy,88,16.71,61.17,48.05,Lunch
Chicken,183,375,Non-Vegetarian,Gluten,55,47.53,87.67,33.82,Breakfast
Barley,318,416,Vegetarian,Gluten,21,32.79,96.73,0.6,Lunch
Pecans,327,175,Vegetarian,Gluten,20,32.06,78.88,28.42,Breakfast
Pumpkin,442,619,Vegetarian,Gluten,82,19.19,96.08,38.81,Breakfast
Brazil Nuts,174,575,Vegetarian,Nuts,41,3.45,48.79,44.12,Snack
Cherries,132,234,Vegetarian,None,57,28.89,78.53,15.85,Dinner
Pistachios,174,92,Vegetarian,Dairy,20,21.52,47.67,19.42,Lunch
Walnuts,263,516,Vegetarian,Nuts,49,41.24,21.8,23.12,Breakfast
Blueberries,193,422,Vegetarian,None,12,39.32,87.68,46.9,Lunch
Tomatoes,168,662,Vegetarian,Shellfish,93,19.11,61.67,40.03,Snack
Cheese,428,361,Vegetarian,Shellfish,77,14.59,48.29,45.32,Breakfast
Cashews,213,175,Vegetarian,Nuts,71,32.79,78.04,23.91,Snack
Quinoa,181,692,Vegetarian,Gluten,12,32.79,64.65,33.82,Snack
Soy Milk,68,606,Vegetarian,Nuts,12,30.68,37.89,28.6,Breakfast
Tuna,442,133,Non-Vegetarian,Nuts,82,7.86,65.18,44.12,Snack
Walnuts,67,438,Vegetarian,Nuts,95,5.23,55.33,27.36,Breakfast
Apples,92,440,Vegetarian,Shellfish,21,41.16,26.0,42.88,Lunch
Barley,174,575,Vegetarian,Dairy,58,28.47,70.21,48.05,Snack
Yogurt,447,175,Vegetarian,Gluten,48,11.94,39.41,15.52,Dinner
Shallots,132,259,Vegetarian,Gluten,57,3.45,55.32,1.76,Dinner
Almond Milk,453,416,Vegetarian,None,24,41.64,92.11,25.63,Dinner
Strawberries,467,375,Vegetarian,Shellfish,22,34.87,50.43,12.69,Lunch
Beef,231,175,Non-Vegetarian,Dairy,41,5.73,37.5,16.33,Lunch
Blackberries,298,175,Vegetarian,None,29,10.84,18.2,28.0,Breakfast
Chili Peppers,162,147,Vegetarian,Nuts,88,26.11,97.12,0.89,Breakfast
Papaya,372,76,Vegetarian,Dairy,88,26.11,0.56,37.31,Breakfast
Raspberries,70,532,Vegetarian,None,96,15.91,87.26,42.7,Snack
Coconut Milk,178,616,Vegetarian,Nuts,66,45.04,28.31,25.01,Breakfast
Mushrooms,174,306,Vegetarian,None,79,5.23,54.96,38.86,Breakfast
Macadamia,463,284,Vegetarian,Dairy,87,11.62,69.92,14.17,Breakfast
Strawberries,160,179,Vegetarian,Shellfish,29,5.73,37.02,12.84,Lunch
Beans,264,301,Vegetarian,Gluten,55,30.68,56.73,48.05,Dinner
Papaya,394,615,Vegetarian,Gluten,48,28.47,48.79,24.78,Snack
Chickpeas,351,287,Vegetarian,None,75,15.87,47.67,0.6,Dinner
Blueberries,285,147,Vegetarian,Shellfish,29,33.12,37.5,14.52,Snack
Pineapple,294,86,Vegetarian,Dairy,82,24.52,79.59,47.05,Snack
Cucumber,59,469,Vegetarian,Dairy,55,12.89,75.85,10.15,Breakfast
Seitan,183,570,Vegetarian,Shellfish,52,12.89,87.67,7.68,Dinner
Tofu,71,650,Vegetarian,Shellfish,37,1.6,78.88,11.66,Snack
Oranges,461,445,Vegetarian,Dairy,64,25.15,5.68,32.33,Snack
Potatoes,147,156,Vegetarian,Shellfish,36,30.68,30.76,33.82,Dinner
Salmon,174,677,Non-Vegetarian,None,64,24.52,76.46,40.03,Breakfast
Turnips,236,556,Vegetarian,Shellfish,55,12.51,75.85,29.08,Snack
Oat Milk,334,217,Vegetarian,None,15,33.96,33.94,7.68,Snack
Shrimp,403,514,Non-Vegetarian,Nuts,37,31.73,74.18,32.24,Breakfast
Egg,447,416,Non-Vegetarian,None,72,46.67,78.53,20.59,Dinner
Oranges,245,284,Vegetarian,Gluten,15,12.51,33.94,1.4,Snack
Apricots,87,416,Vegetarian,Dairy,21,20.98,30.76,46.22,Breakfast
Leeks,192,346,Vegetarian,Shellfish,71,37.93,92.11,24.78,Lunch
Radishes,264,158,Vegetarian,Shellfish,36,34.87,22.12,16.11,Lunch
Cauliflower,364,92,Vegetarian,None,88,15.87,90.1,16.68,Breakfast
Corn,351,239,Vegetarian,None,10,19.64,15.47,38.21,Lunch
Radishes,419,533,Vegetarian,Gluten,44,44.47,47.33,47.47,Dinner
Tofu,269,158,Vegetarian,None,29,32.79,18.2,28.6,Lunch
Cantaloupe,178,169,Vegetarian,Dairy,44,14.59,15.47,49.9,Snack
Mutton,397,144,Non-Vegetarian,Nuts,41,44.63,26.59,48.78,Breakfast
Blueberries,181,671,Vegetarian,None,22,35.65,15.2,14.36,Snack
Coconut Milk,192,474,Vegetarian,Gluten,71,2.1,37.5,1.84,Snack
Tomatoes,154,175,Vegetarian,Shellfish,12,3.29,47.33,11.66,Snack
Scallions,98,117,Vegetarian,Shellfish,24,8.68,31.14,44.12,Dinner
Beans,253,562,Vegetarian,Dairy,82,32.79,56.73,30.15,Lunch
